0000000 3550 350a 3538 3420 3738 320a 3535 d60a
0000010 c9d0 c6c7 c1c4 bec0 bfbe c3c2 c0c3 bfbe
0000020 c0c0 bcbd b9bc b7b6 bab8 b9ba b6b7 b6b6
0000030 babb bab7 c8c0 d6d0 dbd7 dadc dbdb d6d5
0000040 cfd4 cbcb cbcc cbc9 c7cb b6be adb0 b4ab
0000050 c7bd d6cf dfdc dcdf cdd6 bac3 b1b5 b1b0
0000060 c8bc d4d0 d8d7 d4d7 cdd0 cdcc cbce c6c8
0000070 babf b9b9 bbba bdbd baba c8c0 c7ca bfc4
0000080 9eb4 567c 2737 2525 2426 3327 6f46 b69d
0000090 c7c3 b8bf a7b0 a2a2 a6a6 a4a3 aaa8 a5a9
00000a0 b1a7 cdc1 d4d2 d6d7 d5d6 cfd2 cccd cacb
00000b0 c3c7 b7bd c3b7 ded1 e7e2 e7e9 e7e6 e7e8
00000c0 e7e7 e6e7 e6e6 e5e6 e2e2 e0e3 d5dd b4ca
00000d0 9fa6 a1a0 a0a0 9f9f a09f a5a3 aca8 b4b0
00000e0 bcb7 c6c2 c8c7 c0c7 b7bc b2b3 b5b5 b1b3
00000f0 b7b6 b0b2 b6b5 b5b3 b2b4 b3b2 b4b4 b5b3
0000100 b4b4 b7b5 b9b8 c0b8 cec6 dbd5 e3df e3e5
0000110 e4e3 e4e4 e4e4 e2e4 e3e2 e4e3 e4e4 e5e3
0000120 e2e4 e2e2 e2e2 e3e2 e1e2 e1e1 e3e2 e2e3
0000130 e4e3 e5e5 e5e6 e3e5 e4e4 e4e4 e4e4 e4e4
0000140 e4e4 e4e4 e3e4 e6e3 e3e4 e3e3 e4e4 e4e3
0000150 e4e4 e4e4 e4e4 e4e4 e4e4 e5e4 e5e5 e6e5
0000160 e5e5 e5e5 e5e5 e4e6 e5e5 e5e5 e3e4 e0e3
0000170 e1e0 e3e2 e4e4 e3e3 e3e3 e2e3 e2e2 e2e2
0000180 e2e2 e1e2 e1e1 e1e1 e1e1 e1e1 e1e1 e3e1
0000190 e1e2 e0e0 e1e1 e3e2 e3e3 e3e3 e2e2 e2e2
00001a0 e2e2 e2e2 e2e2 e2e2 e2e2 e1e2 e1e1 e1e1
00001b0 e0e1 e0e0 e1e0 e0e1 dfe0 e1e0 e1e1 e0e0
00001c0 e1e0 e1e1 e1e1 e1e1 e1e1 e2e1 e3e2 e2e4
